emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
🦻,ear with hearing aid,People & Body,,ear_with_hearing_aid,U+1F9BB,inferred_coherent
👃,nose,People & Body,,nose,U+1F443,inferred_coherent
🧠,brain,People & Body,,brain,U+1F9E0,inferred_coherent
🫀,anatomical heart,People & Body,,anatomical_heart,U+1FAC0,inferred_coherent
🫁,lungs,People & Body,,lungs,U+1FAC1,inferred_coherent
🦷,tooth,People & Body,,tooth,U+1F9B7,inferred_coherent
🦴,bone,People & Body,,bone,U+1F9B4,inferred_coherent
👀,eyes,People & Body,,eyes,U+1F440,inferred_coherent
👁️,eye,People & Body,,eye,U+1F441 U+FE0F,inferred_coherent
👅,tongue,People & Body,,tongue,U+1F445,inferred_coherent
👄,mouth,People & Body,,mouth,U+1F444,inferred_coherent
🫦,biting lip,People & Body,,biting_lip,U+1FAE6,inferred_coherent
👶,baby,People & Body,,baby,U+1F476,inferred_coherent
🧒,child,People & Body,,child,U+1F9D2,inferred_coherent
👦,boy,People & Body,,boy,U+1F466,inferred_coherent
👧,girl,People & Body,,girl,U+1F467,inferred_coherent
🧑,person,People & Body,,person,U+1F9D1,inferred_coherent
👱,person blond hair,People & Body,,person_blond_hair,U+1F471,inferred_coherent
👨,man,People & Body,,man,U+1F468,inferred_coherent
🧔,person beard,People & Body,,person_beard,U+1F9D4,inferred_coherent
🧔‍♂️,man beard,People & Body,,man_beard,U+1F9D4 U+200D U+2642 U+FE0F,inferred_coherent
🧔‍♀️,woman beard,People & Body,,woman_beard,U+1F9D4 U+200D U+2640 U+FE0F,inferred_coherent
👨‍🦰,man red hair,People & Body,,man_red_hair,U+1F468 U+200D U+1F9B0,inferred_coherent
👨‍🦱,man curly hair,People & Body,,man_curly_hair,U+1F468 U+200D U+1F9B1,inferred_coherent
👨‍🦳,man white hair,People & Body,,man_white_hair,U+1F468 U+200D U+1F9B3,inferred_coherent
👨‍🦲,man bald,People & Body,,man_bald,U+1F468 U+200D U+1F9B2,inferred_coherent
👩,woman,People & Body,,woman,U+1F469,inferred_coherent
👩‍🦰,woman red hair,People & Body,,woman_red_hair,U+1F469 U+200D U+1F9B0,inferred_coherent
🧑‍🦰,person red hair,People & Body,,person_red_hair,U+1F9D1 U+200D U+1F9B0,inferred_coherent
👩‍🦱,woman curly hair,People & Body,,woman_curly_hair,U+1F469 U+200D U+1F9B1,inferred_coherent
🧑‍🦱,person curly hair,People & Body,,person_curly_hair,U+1F9D1 U+200D U+1F9B1,inferred_coherent
👩‍🦳,woman white hair,People & Body,,woman_white_hair,U+1F469 U+200D U+1F9B3,inferred_coherent
🧑‍🦳,person white hair,People & Body,,person_white_hair,U+1F9D1 U+200D U+1F9B3,inferred_coherent
👩‍🦲,woman bald,People & Body,,woman_bald,U+1F469 U+200D U+1F9B2,inferred_coherent
🧑‍🦲,person bald,People & Body,,person_bald,U+1F9D1 U+200D U+1F9B2,inferred_coherent
👱‍♀️,woman blond hair,People & Body,,woman_blond_hair,U+1F471 U+200D U+2640 U+FE0F,inferred_coherent
👱‍♂️,man blond hair,People & Body,,man_blond_hair,U+1F471 U+200D U+2642 U+FE0F,inferred_coherent
🧓,older person,People & Body,,older_person,U+1F9D3,inferred_coherent
